customer_id,plan,region,acquisition_channel,tenure_risk,total_sessions,engagement_low,support_risk,score,risk_band
1,Standard,West,Organic,False,,False,False,0.5,Low
2,Basic,South,Organic,False,17.0,False,False,1.0,Low
3,Standard,Central,Referral,False,30.0,False,False,0.5,Low
4,Premium,East,Organic,False,,False,False,0.0,Low
5,Basic,East,Social Ads,False,,False,False,1.0,Low
6,Premium,East,Organic,False,,False,False,0.0,Low
7,Basic,North,Social Ads,False,22.0,False,False,1.0,Low
8,Standard,North,Paid Search,False,28.0,False,False,0.5,Low
9,Premium,East,Organic,False,,False,False,0.0,Low
10,Basic,West,Referral,False,,False,True,2.0,Medium
11,Basic,West,Paid Search,False,22.0,False,False,1.0,Low
12,Basic,North,Social Ads,False,13.0,True,False,2.0,Medium
13,Standard,East,Organic,False,,False,False,0.5,Low
14,Standard,West,Partnership,False,,False,False,0.5,Low
15,Standard,North,Social Ads,False,,False,False,0.5,Low
16,Basic,East,Partnership,False,16.0,False,False,1.0,Low
17,Basic,South,Paid Search,False,14.0,True,False,2.0,Medium
18,Basic,East,Paid Search,False,15.0,True,False,2.0,Medium
19,Basic,East,Social Ads,False,7.0,True,False,2.0,Medium
20,Standard,Central,Referral,False,24.0,True,False,1.5,Medium
21,Premium,Central,Partnership,False,,False,False,0.0,Low
22,Standard,South,Organic,False,25.0,False,False,0.5,Low
23,Basic,South,Social Ads,False,,False,False,1.0,Low
24,Premium,East,Organic,False,39.0,False,False,0.0,Low
25,Standard,West,Paid Search,False,,False,False,0.5,Low
26,Premium,South,Organic,False,,False,False,0.0,Low
27,Standard,East,Organic,False,,False,False,0.5,Low
28,Basic,North,Referral,False,,False,False,1.0,Low
29,Basic,Central,Organic,False,15.0,True,False,2.0,Medium
30,Standard,West,Social Ads,False,22.0,True,False,1.5,Medium
31,Basic,East,Paid Search,False,13.0,True,False,2.0,Medium
32,Basic,North,Organic,False,,False,False,1.0,Low
33,Standard,Central,Organic,False,,False,False,0.5,Low
34,Standard,North,Paid Search,False,29.0,False,True,1.5,Medium
35,Standard,East,Organic,False,,False,False,0.5,Low
36,Basic,South,Social Ads,False,28.0,False,False,1.0,Low
37,Basic,Central,Partnership,False,,False,False,1.0,Low
38,Standard,North,Organic,False,35.0,False,False,0.5,Low
39,Premium,South,Organic,False,,False,False,0.0,Low
40,Standard,West,Paid Search,False,,False,False,0.5,Low
41,Premium,East,Social Ads,False,35.0,False,False,0.0,Low
42,Standard,East,Organic,False,,False,False,0.5,Low
43,Standard,Central,Organic,False,22.0,True,False,1.5,Medium
44,Basic,North,Paid Search,False,,False,False,1.0,Low
45,Standard,West,Partnership,False,,False,False,0.5,Low
46,Standard,Central,Organic,False,,False,False,0.5,Low
47,Standard,Central,Organic,False,27.0,False,False,0.5,Low
48,Standard,North,Partnership,False,22.0,True,False,1.5,Medium
49,Standard,West,Social Ads,False,25.0,False,False,0.5,Low
50,Basic,North,Social Ads,False,,False,False,1.0,Low
51,Standard,East,Paid Search,False,,False,False,0.5,Low
52,Basic,South,Partnership,False,,False,False,1.0,Low
53,Premium,East,Social Ads,False,,False,False,0.0,Low
54,Basic,East,Referral,False,11.0,True,False,2.0,Medium
55,Basic,Central,Social Ads,False,,False,False,1.0,Low
56,Basic,East,Social Ads,False,,False,False,1.0,Low
57,Standard,West,Organic,False,,False,False,0.5,Low
58,Basic,East,Organic,False,12.0,True,False,2.0,Medium
59,Basic,West,Social Ads,False,12.0,True,False,2.0,Medium
60,Standard,North,Organic,False,,False,False,0.5,Low
61,Basic,Central,Paid Search,False,,False,False,1.0,Low
62,Premium,West,Organic,False,,False,False,0.0,Low
63,Premium,East,Social Ads,False,,False,False,0.0,Low
64,Standard,Central,Organic,False,21.0,True,False,1.5,Medium
65,Basic,Central,Social Ads,False,,False,False,1.0,Low
66,Standard,West,Paid Search,False,36.0,False,False,0.5,Low
67,Basic,West,Organic,False,,False,False,1.0,Low
68,Standard,South,Paid Search,False,26.0,False,False,0.5,Low
69,Basic,South,Organic,False,,False,False,1.0,Low
70,Premium,Central,Organic,False,34.0,False,False,0.0,Low
71,Basic,South,Organic,False,19.0,False,False,1.0,Low
72,Standard,East,Organic,False,,False,False,0.5,Low
73,Standard,North,Partnership,False,27.0,False,False,0.5,Low
74,Standard,Central,Organic,False,,False,False,0.5,Low
75,Basic,North,Social Ads,False,17.0,False,False,1.0,Low
76,Premium,South,Organic,False,,False,False,0.0,Low
77,Standard,West,Social Ads,False,,False,False,0.5,Low
78,Standard,Central,Organic,False,,False,False,0.5,Low
79,Basic,South,Social Ads,False,17.0,False,False,1.0,Low
80,Standard,East,Social Ads,False,,False,False,0.5,Low
81,Basic,Central,Social Ads,False,,False,False,1.0,Low
82,Basic,Central,Organic,False,14.0,True,False,2.0,Medium
83,Basic,West,Social Ads,False,26.0,False,False,1.0,Low
84,Premium,Central,Organic,False,45.0,False,False,0.0,Low
85,Basic,West,Organic,False,,False,False,1.0,Low
86,Basic,South,Organic,False,,False,False,1.0,Low
87,Standard,East,Organic,False,,False,False,0.5,Low
88,Standard,East,Paid Search,False,,False,False,0.5,Low
89,Basic,Central,Social Ads,False,19.0,False,False,1.0,Low
90,Standard,Central,Organic,False,,False,False,0.5,Low
91,Basic,South,Organic,False,,False,False,1.0,Low
92,Basic,West,Organic,False,,False,False,1.0,Low
93,Basic,East,Social Ads,False,20.0,False,False,1.0,Low
94,Premium,West,Paid Search,False,,False,False,0.0,Low
95,Basic,South,Organic,False,,False,False,1.0,Low
96,Basic,East,Social Ads,False,16.0,False,False,1.0,Low
97,Basic,East,Paid Search,False,24.0,False,False,1.0,Low
98,Premium,North,Paid Search,False,,False,False,0.0,Low
99,Basic,South,Paid Search,False,,False,False,1.0,Low
100,Basic,South,Social Ads,False,,False,False,1.0,Low
101,Basic,North,Social Ads,False,,False,False,1.0,Low
102,Basic,West,Organic,False,26.0,False,False,1.0,Low
103,Standard,North,Organic,False,,False,False,0.5,Low
104,Standard,South,Organic,False,35.0,False,False,0.5,Low
105,Basic,West,Social Ads,False,,False,False,1.0,Low
106,Basic,East,Referral,False,,False,False,1.0,Low
107,Basic,North,Organic,False,20.0,False,False,1.0,Low
108,Basic,West,Organic,False,,False,False,1.0,Low
109,Basic,West,Social Ads,False,,False,False,1.0,Low
110,Standard,West,Referral,False,,False,False,0.5,Low
111,Premium,North,Referral,False,38.0,False,False,0.0,Low
112,Premium,East,Paid Search,False,50.0,False,False,0.0,Low
113,Premium,West,Referral,False,40.0,False,False,0.0,Low
114,Standard,North,Organic,False,25.0,False,False,0.5,Low
115,Standard,South,Organic,False,,False,False,0.5,Low
116,Basic,North,Organic,False,21.0,False,False,1.0,Low
117,Standard,North,Social Ads,False,,False,False,0.5,Low
118,Standard,North,Organic,False,,False,False,0.5,Low
119,Standard,West,Paid Search,False,22.0,True,False,1.5,Medium
120,Standard,North,Paid Search,False,,False,False,0.5,Low
121,Basic,South,Organic,False,14.0,True,False,2.0,Medium
122,Basic,West,Referral,False,,False,False,1.0,Low
123,Premium,South,Organic,False,37.0,False,False,0.0,Low
124,Basic,Central,Organic,False,28.0,False,False,1.0,Low
125,Standard,North,Social Ads,False,27.0,False,False,0.5,Low
126,Premium,West,Organic,False,,False,False,0.0,Low
127,Standard,West,Social Ads,False,,False,False,0.5,Low
128,Standard,North,Social Ads,False,29.0,False,False,0.5,Low
129,Basic,East,Referral,False,,False,False,1.0,Low
130,Basic,East,Referral,False,,False,False,1.0,Low
131,Premium,South,Organic,False,38.0,False,False,0.0,Low
132,Standard,North,Paid Search,False,,False,False,0.5,Low
133,Standard,North,Organic,False,22.0,True,False,1.5,Medium
134,Basic,Central,Organic,False,,False,False,1.0,Low
135,Basic,East,Organic,False,,False,False,1.0,Low
136,Premium,East,Organic,False,28.0,True,False,1.0,Low
137,Basic,North,Referral,False,,False,False,1.0,Low
138,Standard,South,Organic,False,24.0,True,False,1.5,Medium
139,Basic,North,Paid Search,False,,False,False,1.0,Low
140,Standard,South,Organic,False,,False,False,0.5,Low
141,Premium,East,Paid Search,False,,False,False,0.0,Low
142,Standard,Central,Partnership,False,26.0,False,False,0.5,Low
143,Basic,West,Organic,False,13.0,True,False,2.0,Medium
144,Standard,East,Paid Search,False,29.0,False,False,0.5,Low
145,Standard,South,Organic,False,,False,False,0.5,Low
146,Basic,North,Organic,False,14.0,True,False,2.0,Medium
147,Premium,East,Paid Search,False,37.0,False,False,0.0,Low
148,Standard,Central,Social Ads,False,,False,False,0.5,Low
149,Premium,South,Organic,False,,False,False,0.0,Low
150,Standard,North,Organic,False,,False,False,0.5,Low
151,Basic,West,Organic,False,17.0,False,False,1.0,Low
152,Basic,South,Social Ads,False,,False,False,1.0,Low
153,Basic,North,Social Ads,False,,False,False,1.0,Low
154,Premium,West,Paid Search,False,,False,False,0.0,Low
155,Standard,North,Paid Search,False,24.0,True,False,1.5,Medium
156,Standard,West,Referral,False,,False,False,0.5,Low
157,Basic,West,Social Ads,False,23.0,False,False,1.0,Low
158,Basic,West,Social Ads,False,,False,False,1.0,Low
159,Standard,North,Social Ads,False,,False,True,1.5,Medium
160,Standard,West,Social Ads,False,,False,False,0.5,Low
161,Basic,South,Paid Search,False,,False,False,1.0,Low
162,Standard,Central,Referral,False,,False,False,0.5,Low
163,Basic,Central,Referral,False,,False,False,1.0,Low
164,Basic,West,Organic,False,,False,False,1.0,Low
165,Standard,Central,Organic,False,31.0,False,False,0.5,Low
166,Basic,Central,Partnership,False,,False,False,1.0,Low
167,Premium,West,Organic,False,36.0,False,False,0.0,Low
168,Basic,West,Referral,False,17.0,False,False,1.0,Low
169,Basic,South,Organic,False,,False,False,1.0,Low
170,Basic,East,Organic,False,17.0,False,False,1.0,Low
171,Standard,North,Organic,False,,False,False,0.5,Low
172,Basic,West,Organic,False,,False,False,1.0,Low
173,Standard,West,Organic,False,25.0,False,False,0.5,Low
174,Basic,Central,Paid Search,False,21.0,False,False,1.0,Low
175,Basic,South,Social Ads,False,16.0,False,False,1.0,Low
176,Basic,Central,Partnership,False,,False,False,1.0,Low
177,Premium,West,Organic,False,40.0,False,False,0.0,Low
178,Premium,West,Paid Search,False,,False,False,0.0,Low
179,Basic,Central,Paid Search,False,,False,False,1.0,Low
180,Standard,West,Paid Search,False,22.0,True,False,1.5,Medium
181,Premium,East,Paid Search,False,39.0,False,False,0.0,Low
182,Basic,North,Organic,False,,False,False,1.0,Low
183,Premium,North,Organic,False,,False,False,0.0,Low
184,Basic,North,Organic,False,,False,False,1.0,Low
185,Premium,East,Organic,False,,False,False,0.0,Low
186,Standard,West,Social Ads,False,,False,True,1.5,Medium
187,Premium,Central,Organic,False,,False,False,0.0,Low
188,Standard,South,Referral,False,36.0,False,False,0.5,Low
189,Basic,West,Referral,False,,False,False,1.0,Low
190,Premium,East,Partnership,False,31.0,True,False,1.0,Low
191,Basic,East,Referral,False,,False,False,1.0,Low
192,Basic,North,Organic,False,22.0,False,False,1.0,Low
193,Standard,West,Paid Search,False,,False,False,0.5,Low
194,Standard,North,Organic,False,26.0,False,False,0.5,Low
195,Premium,South,Social Ads,False,,False,False,0.0,Low
196,Basic,North,Referral,False,,False,False,1.0,Low
197,Standard,South,Referral,False,22.0,True,False,1.5,Medium
198,Standard,East,Organic,False,34.0,False,False,0.5,Low
199,Basic,North,Social Ads,False,,False,False,1.0,Low
200,Basic,North,Organic,False,13.0,True,False,2.0,Medium
201,Basic,Central,Organic,False,,False,False,1.0,Low
202,Basic,East,Social Ads,False,,False,False,1.0,Low
203,Premium,Central,Organic,False,,False,False,0.0,Low
204,Standard,South,Partnership,False,,False,False,0.5,Low
205,Standard,South,Organic,False,,False,True,1.5,Medium
206,Premium,East,Referral,False,,False,False,0.0,Low
207,Basic,South,Paid Search,False,,False,False,1.0,Low
208,Premium,East,Social Ads,False,,False,False,0.0,Low
209,Basic,South,Social Ads,False,,False,False,1.0,Low
210,Premium,West,Referral,False,56.0,False,False,0.0,Low
211,Basic,North,Organic,False,,False,False,1.0,Low
212,Premium,West,Referral,False,42.0,False,False,0.0,Low
213,Basic,East,Organic,False,25.0,False,False,1.0,Low
214,Basic,East,Organic,False,,False,False,1.0,Low
215,Standard,West,Organic,False,,False,False,0.5,Low
216,Basic,North,Social Ads,False,,False,False,1.0,Low
217,Standard,North,Paid Search,False,,False,False,0.5,Low
218,Basic,Central,Social Ads,False,,False,False,1.0,Low
219,Standard,South,Social Ads,False,26.0,False,False,0.5,Low
220,Basic,Central,Organic,False,,False,False,1.0,Low
221,Basic,North,Referral,False,,False,False,1.0,Low
222,Basic,West,Organic,False,,False,False,1.0,Low
223,Standard,South,Referral,False,25.0,False,False,0.5,Low
224,Basic,West,Organic,False,,False,False,1.0,Low
225,Basic,Central,Paid Search,False,,False,False,1.0,Low
226,Basic,East,Organic,False,14.0,True,False,2.0,Medium
227,Basic,West,Organic,False,,False,True,2.0,Medium
228,Standard,Central,Organic,False,,False,False,0.5,Low
229,Premium,Central,Organic,False,,False,False,0.0,Low
230,Basic,Central,Organic,False,20.0,False,False,1.0,Low
231,Standard,East,Organic,False,,False,False,0.5,Low
232,Standard,East,Paid Search,False,,False,False,0.5,Low
233,Basic,East,Social Ads,False,,False,False,1.0,Low
234,Standard,South,Paid Search,False,,False,False,0.5,Low
235,Basic,East,Referral,False,,False,False,1.0,Low
236,Standard,East,Social Ads,False,,False,False,0.5,Low
237,Basic,East,Social Ads,False,,False,False,1.0,Low
238,Standard,West,Social Ads,False,,False,False,0.5,Low
239,Standard,East,Organic,False,20.0,True,False,1.5,Medium
240,Basic,South,Social Ads,False,,False,False,1.0,Low
241,Basic,Central,Organic,False,,False,False,1.0,Low
242,Premium,West,Referral,False,,False,False,0.0,Low
243,Basic,North,Social Ads,False,,False,False,1.0,Low
244,Standard,East,Organic,False,,False,False,0.5,Low
245,Premium,Central,Social Ads,False,39.0,False,False,0.0,Low
246,Standard,Central,Organic,False,21.0,True,False,1.5,Medium
247,Standard,West,Organic,False,,False,False,0.5,Low
248,Standard,North,Organic,False,28.0,False,False,0.5,Low
249,Premium,South,Social Ads,False,,False,False,0.0,Low
250,Standard,Central,Social Ads,False,,False,False,0.5,Low
251,Standard,Central,Social Ads,True,37.0,False,False,1.5,Medium
252,Basic,Central,Organic,False,,False,False,1.0,Low
253,Premium,Central,Paid Search,False,,False,False,0.0,Low
254,Standard,West,Social Ads,False,,False,False,0.5,Low
255,Basic,North,Organic,False,,False,False,1.0,Low
